recommendation1,recommendation2,recommendation3
98,1052,1748
1288,872,538
1850,959,489
488,1052,1626
291,34,525
179,442,2
174,35,258
1977,1134,249
1845,1966,442
1844,442,1846
1845,1844,84
207,295,1673
521,1752,1912
1052,1393,469
1196,116,837
1494,179,1673
862,128,1136
992,1128,701
1961,1458,245
1146,546,111
823,1376,687
411,383,1384
525,663,975
1059,816,874
88,1594,1626
1801,1028,1081
494,1789,1946
1725,1657,30
1133,1865,1958
1595,1052,1450
1533,1054,1480
1532,1580,1556
1089,742,1913
1028,1254,1960
1699,1254,359
932,1786,155
888,328,421
365,485,935
31,1966,179
1913,1026,671
1332,825,742
1878,1889,996
1877,996,482
216,1254,802
631,1918,1809
925,926,1737
1986,1829,501
